iter	Passed	Remaining
597	2493	1676
598	2497	1672
599	2501	1667
600	2506	1664
601	2511	1660
602	2515	1655
603	2519	1652
604	2524	1648
605	2528	1644
606	2533	1640
607	2538	1636
608	2543	1632
609	2547	1628
610	2552	1624
611	2556	1620
612	2560	1616
613	2565	1612
614	2569	1608
615	2573	1604
616	2578	1600
617	2583	1596
618	2588	1593
619	2592	1588
620	2596	1584
621	2601	1580
622	2605	1576
623	2609	1572
624	2613	1568
625	2617	1563
626	2621	1559
627	2625	1555
628	2629	1551
629	2634	1546
630	2638	1542
631	2642	1538
632	2646	1534
633	2650	1530
634	2654	1525
635	2658	1521
636	2662	1517
637	2666	1513
638	2670	1508
639	2674	1504
640	2679	1500
641	2683	1496
642	2687	1491
643	2691	1487
644	2695	1483
645	2699	1479
646	2703	1474
647	2707	1470
648	2711	1466
649	2715	1462
650	2719	1457
651	2723	1453
652	2727	1449
653	2731	1445
654	2735	1440
655	2739	1436
656	2743	1432
657	2747	1428
658	2751	1423
659	2755	1419
660	2759	1415
661	2763	1411
662	2767	1406
663	2771	1402
664	2775	1398
665	2779	1394
666	2784	1389
667	2788	1385
668	2792	1381
669	2795	1377
670	2799	1372
671	2803	1368
672	2807	1364
673	2811	1360
674	2815	1355
675	2819	1351
676	2823	1347
677	2828	1343
678	2832	1338
679	2836	1334
680	2840	1330
681	2844	1326
682	2848	1321
683	2852	1317
684	2856	1313
685	2860	1309
686	2863	1304
687	2867	1300
688	2871	1296
689	2875	1292
690	2880	1287
691	2884	1283
692	2888	1279
693	2892	1275
694	2896	1270
695	2899	1266
696	2903	1262
697	2907	1258
698	2911	1253
699	2915	1249
700	2919	1245
701	2923	1241
702	2928	1237
703	2932	1232
704	2936	1228
705	2940	1224
706	2944	1220
707	2948	1215
708	2952	1211
709	2956	1207
710	2960	1203
711	2964	1198
712	2968	1194
713	2972	1190
714	2976	1186
715	2980	1182
716	2984	1178
717	2988	1173
718	2992	1169
719	2997	1165
720	3001	1161
721	3005	1157
722	3009	1152
723	3013	1148
724	3017	1144
725	3021	1140
726	3025	1136
727	3030	1132
728	3034	1127
729	3038	1123
730	3041	1119
731	3045	1115
732	3049	1110
733	3053	1106
734	3057	1102
735	3061	1098
736	3065	1094
737	3069	1089
738	3074	1085
739	3078	1081
740	3082	1077
741	3086	1073
742	3090	1068
743	3094	1064
744	3098	1060
745	3101	1056
746	3105	1051
747	3109	1047
748	3113	1043
749	3117	1039
750	3122	1035
751	3126	1030
752	3130	1026
753	3134	1022
754	3138	1018
755	3142	1014
756	3146	1010
757	3150	1005
758	3154	1001
759	3158	997
760	3162	993
761	3166	989
762	3171	984
763	3175	980
764	3179	976
765	3183	972
766	3187	968
767	3191	964
768	3195	959
769	3199	955
770	3203	951
771	3207	947
772	3211	943
773	3215	938
774	3219	934
775	3223	930
776	3227	926
777	3232	922
778	3235	918
779	3239	913
780	3243	909
781	3248	905
782	3253	901
783	3257	897
784	3261	893
785	3266	889
786	3271	885
787	3276	881
788	3280	877
789	3285	873
790	3289	869
791	3293	865
792	3298	861
793	3302	856
794	3307	852
795	3311	848
796	3316	844
797	3321	840
798	3325	836
799	3330	832
800	3335	828
801	3339	824
802	3343	820
803	3347	816
804	3352	811
805	3356	807
806	3360	803
807	3364	799
808	3368	795
809	3372	791
810	3376	786
811	3380	782
812	3384	778
813	3388	774
814	3392	770
815	3396	765
816	3400	761
817	3404	757
818	3408	753
819	3412	749
820	3416	744
821	3421	740
822	3425	736
823	3429	732
824	3433	728
825	3436	724
826	3440	719
827	3444	715
828	3448	711
829	3452	707
830	3456	702
831	3460	698
832	3464	694
833	3469	690
834	3473	686
835	3477	682
836	3481	677
837	3485	673
838	3489	669
839	3493	665
840	3497	661
841	3502	657
842	3506	652
843	3510	648
844	3514	644
845	3518	640
846	3522	636
847	3526	632
848	3530	627
849	3534	623
850	3538	619
851	3542	615
852	3546	611
853	3550	607
854	3554	602
855	3558	598
856	3562	594
857	3566	590
858	3571	586
859	3575	581
860	3579	577
861	3583	573
862	3587	569
863	3590	565
864	3594	561
865	3598	556
866	3602	552
867	3606	548
868	3611	544
869	3615	540
870	3619	536
871	3623	531
872	3627	527
873	3630	523
874	3635	519
875	3639	515
876	3643	510
877	3647	506
878	3651	502
879	3655	498
880	3659	494
881	3663	490
882	3668	486
883	3672	481
884	3676	477
885	3680	473
886	3683	469
887	3687	465
888	3691	460
889	3695	456
890	3699	452
891	3703	448
892	3708	444
893	3712	440
894	3716	436
895	3720	431
896	3724	427
897	3728	423
898	3732	419
899	3736	415
900	3740	410
901	3744	406
902	3748	402
903	3752	398
904	3756	394
905	3760	390
906	3764	386
907	3768	381
908	3772	377
909	3776	373
910	3780	369
911	3784	365
912	3788	360
913	3792	356
914	3796	352
915	3800	348
916	3804	344
917	3808	340
918	3812	336
919	3816	331
920	3820	327
921	3824	323
922	3828	319
923	3832	315
924	3836	311
925	3840	306
926	3844	302
927	3848	298
928	3852	294
929	3856	290
930	3860	286
931	3864	281
932	3868	277
933	3872	273
934	3876	269
935	3880	265
936	3884	261
937	3888	257
938	3892	252
939	3896	248
940	3900	244
941	3904	240
942	3908	236
943	3912	232
944	3916	227
945	3920	223
946	3924	219
947	3928	215
948	3932	211
949	3936	207
950	3940	203
951	3944	198
952	3948	194
953	3952	190
954	3957	186
955	3961	182
956	3965	178
957	3969	174
958	3973	169
959	3977	165
960	3981	161
961	3985	157
962	3989	153
963	3993	149
964	3998	145
965	4003	140
966	4007	136
967	4012	132
968	4016	128
969	4020	124
970	4025	120
971	4029	116
972	4033	111
973	4038	107
974	4042	103
975	4046	99
976	4051	95
977	4056	91
978	4061	87
979	4065	82
980	4070	78
981	4074	74
982	4079	70
983	4083	66
984	4087	62
985	4092	58
986	4096	53
987	4100	49
988	4105	45
989	4109	41
990	4113	37
991	4117	33
992	4121	29
993	4125	24
994	4129	20
995	4133	16
996	4137	12
997	4140	8
998	4144	4
999	4149	0
